epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.97816,1.02789,3.35038,1.3924,0.00435,0.73416,0.03529,0.01549,1.66527,3.30435,2.23873,0.0002695,0.0002695,0.0002695
2,11.6324,0.86803,2.74115,1.31059,0.55811,0.26644,0.26976,0.13262,1.58246,2.44792,2.34964,0.000544458,0.000544458,0.000544458
3,16.0664,0.90826,2.33613,1.34018,0.2956,0.3581,0.21506,0.07746,1.9586,3.95544,2.76483,0.000816667,0.000816667,0.000816667
4,20.4888,0.8655,2.11415,1.29283,0.54927,0.24718,0.18547,0.07331,1.88446,3.76365,2.99425,0.00082063,0.00082063,0.00082063
5,24.9635,0.83946,1.92112,1.27481,0.4349,0.47976,0.41208,0.18912,1.73715,2.56621,2.63898,0.000816507,0.000816507,0.000816507
6,29.3559,0.82522,1.79117,1.25915,0.32452,0.32314,0.24158,0.10301,1.91134,2.57415,3.18697,0.000812383,0.000812383,0.000812383
7,33.696,0.78305,1.72974,1.2244,0.36629,0.51662,0.3721,0.1743,1.62871,2.20042,2.42689,0.00080826,0.00080826,0.00080826
8,38.175,0.76238,1.61268,1.20268,0.4016,0.40558,0.41525,0.19798,1.65375,2.80024,2.54519,0.000804137,0.000804137,0.000804137
9,42.5247,0.74671,1.5333,1.19165,0.49148,0.57965,0.52162,0.19243,2.07456,2.07108,3.2627,0.000800013,0.000800013,0.000800013
10,46.9617,0.71776,1.45705,1.17748,0.49927,0.5856,0.5405,0.27256,1.56601,1.82494,2.37104,0.00079589,0.00079589,0.00079589
11,51.4471,0.75302,1.47634,1.21087,0.35067,0.4207,0.42628,0.18998,1.79405,2.31188,2.33117,0.000791767,0.000791767,0.000791767
12,55.9235,0.72586,1.41828,1.1772,0.53811,0.50003,0.48903,0.22769,1.69308,1.99501,2.36318,0.000787643,0.000787643,0.000787643
13,60.3019,0.70672,1.40623,1.16326,0.4226,0.42982,0.4241,0.20165,1.76267,2.03115,2.43472,0.00078352,0.00078352,0.00078352
